Start of repetition 3: Goroutines: %!d(string=%Cpu(s):  4.8 us,  4.8 sy,  0.0 ni, 90.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s): 12.2 us,  1.0 sy,  0.0 ni, 86.3 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s):  9.0 us,  0.5 sy,  0.0 ni, 90.0 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s): 18.2 us,  1.5 sy,  0.0 ni, 79.1 id,  0.0 wa,  0.0 hi,  1.2 si,  0.0 st)
Start of repetition 11: Goroutines: %!d(string=%Cpu(s): 11.5 us,  1.6 sy,  0.0 ni, 85.2 id,  0.0 wa,  0.0 hi,  1.6 si,  0.0 st
%Cpu(s):  6.5 us,  0.7 sy,  0.0 ni, 92.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s): 12.2 us,  1.0 sy,  0.0 ni, 86.3 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s):  9.0 us,  0.5 sy,  0.0 ni, 90.0 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s): 18.4 us,  1.5 sy,  0.0 ni, 78.9 id,  0.0 wa,  0.0 hi,  1.2 si,  0.0 st)
End of repetition 9: Goroutines: %!d(string=%Cpu(s): 24.2 us,  3.2 sy,  0.0 ni, 72.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s):  7.2 us,  0.7 sy,  0.0 ni, 91.6 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s): 20.4 us,  1.2 sy,  0.0 ni, 77.9 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s):  1.5 us,  0.5 sy,  0.0 ni, 98.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s):  8.7 us,  0.7 sy,  0.0 ni, 90.3 id,  0.0 wa,  0.0 hi,  0.2 si,  0.0 st)
